term,category,color
particularly in low population density areas where a longer distance range might be more appropriate. They also highlight the importance of balancing theoretical relevance,other,lightcoral
"which includes both primary detections and crimes taken into consideration (TIC).
- Requirement for geographical coordinates for both offense and offender home locations",other,lightcoral
justifying it by their similarity in size to other studies and their homogeneity. They also mention that using census units avoids the need to estimate spillover effects,other,lightcoral
No (the researchers used four-digit postal code areas as the spatial unit of analysis without aggregating data from smaller administrative or statistical spatial units),methods,lightgreen
similar to those used in previous studies. This choice is justified by practical considerations and theoretical alignment with awareness spaces in crime pattern theory.,other,lightcoral
to better capture the dynamic nature of the environment. They also recommend adopting a unit of analysis that includes tangible characteristics of the ongoing situation,other,lightcoral
The authors suggest that future research should account for both the characteristics of the broader social environment and the availability of targets in a neighborhood,other,lightcoral
and it minimizes aggregation bias. The availability of detailed spatial crime data and recommendations from contemporary studies also support this choice. Additionally,other,lightcoral
The authors chose four-digit postal code areas as their spatial unit of analysis because they are a useful and plausible indication of areas people are familiar with,other,lightcoral
"which was beyond the capabilities of the software and hardware used.
- Processing challenges: The software and hardware were insufficient to handle the full dataset",other,lightcoral
the researchers aggregated data from smaller administrative units (six-digit postal code areas) to larger spatial units (four-digit postal code areas) for analysis.,methods,lightgreen
which aligns with the scale of analysis for residential burglary. This choice is justified by the need to define a relevant choice set for burglars' decision-making,other,lightcoral
Alternative units considered but not used include census blocks and street blocks. These were rejected because using them would require estimating spillover effects,other,lightcoral
"and social hangouts to improve predictions of crime locations.
- Use space-time budget studies to gather more comprehensive data on individuals' activity patterns.",other,lightcoral
"Odds ratio for neighborhoods visited at the same time of day as the crime event: 2589.71
- Odds ratio for neighborhoods visited at different times of day: 1209.00",statistical,plum
and it was computationally feasible. They also referenced empirical literature indicating that effects are robust across different geographic levels of aggregation,other,lightcoral
"but this was rejected due to methodological concerns such as the modifiable areal unit problem and aggregation bias.
- Postal code areas: Similar to neighborhoods",other,lightcoral
Block groups or blocks were considered as alternative units but were not used due to practical limitations such as data availability and computational constraints.,other,lightcoral
Not mentioned (the paper does not report any model fit statistics or goodness-of-fit measures due to the small sample size and descriptive nature of the analysis),statistical,plum
"OR = 1.6% increase for Dis-residing burglars
- Parks: OR = 0.05 for Dis-residing burglars
- Entertainment venues: OR = 4% increase for Non-Dis-residing burglars",statistical,plum
which is a standard spatial unit used in the UK for census data. The justification is implied by the suitability of LSOAs for analyzing spatial patterns of crime,other,lightcoral
The authors chose census block groups as their spatial unit of analysis because it is the smallest geographic area available in the EPA's Smart Location Database,other,lightcoral
"this study uses the latent class (and mixed and conditional logit) to examine the offence location choices of serious acquisitive crime offenders in York (UK).""",geographic,yellow
The authors justify their choice of spatial unit size by ensuring it is fine enough to capture the variance of spatial features. For areally aggregated features,other,lightcoral
ensuring consistency and comparability. Census units are approximately equally sized and relatively homogeneous in terms of population composition. Additionally,other,lightcoral
and neighborhoods identified by postcodes. These were not selected because the authors chose SA2s for their balance between spatial spill-over and heterogeneity,other,lightcoral
The authors chose neighbourhoods as their spatial unit size because more than three-quarters of the locations were reported at least at the neighbourhood level,other,lightcoral
the researchers aggregated data from smaller administrative units to census block groups. The original smaller administrative unit is not explicitly mentioned,methods,lightgreen
"negative association (no specific value provided)
- Ethnic heterogeneity: Not statistically significant
- Number of dwellings: Not statistically significant",statistical,plum
"000 residents
- Racial and ethnic dissimilarity: .42 (decrease by 58%)
- Gang territorial dissimilarity: .50 (decrease by 50%)
- Collective efficacy: small",statistical,plum
Not mentioned (the paper does not provide specific numerical coefficient values for the independent variables in the statistical model within the text itself),statistical,plum
"1. u30 (proximity measure)
2. u66 (density measurement)
3. /13
4. /18
5. /19
6. /38
7. /46
8. /52
9. /53
10. /58
11. /62
12. Spatial hierarchy term",statistical,plum
and they can capture local variations in crime rates and environmental characteristics. The high geocoding success rate and the inclusion of all census blocks,other,lightcoral
indicating a limitation due to data availability and computational feasibility rather than specific computational constraints like memory or processing time.,other,lightcoral
The authors chose census blocks as their spatial unit of analysis because they are a fine-grained unit that allows for detailed analysis of spatial patterns,other,lightcoral
Computational constraints: The estimation of the multinomial logit model was computationally intensive due to the large number of potential alternatives (23,other,lightcoral
which are key issues in MAUP. The paper emphasizes the need to match the unit of analysis with the theoretical level of study to prevent ecological fallacy.,other,lightcoral
The authors faced computational constraints related to the number of spatial units (SA2s) they could include in their analysis. To manage these constraints,other,lightcoral
No sensitivity analysis performed. The study primarily uses census tracts and suggests future work could explore smaller units like block groups or blocks,other,lightcoral
Yes. The researchers aggregated data from smaller administrative units (U.K. census output areas) to larger spatial units (street segments) for analysis.,methods,lightgreen
Yes. The researchers aggregated data from smaller administrative units (census blocks) to larger administrative units (census block groups) for analysis.,methods,lightgreen
Yes. The researchers aggregated data from smaller administrative units (census blocks) to create larger spatial units (census block groups) for analysis.,methods,lightgreen
"Propinquity: Odds ratio = 0.6 for every kilometer
- Schools: Odds ratio = 1.29 to 2.09 for each additional school
- Tube station: Significant predictor",statistical,plum
"Low detection rate of residential burglaries (7%) which could bias results if related to location choice criteria.
- Focus only on target area selection",other,lightcoral
or processing challenges that influenced their spatial unit selection. While there are discussions about data quality and the potential for smaller units,other,lightcoral
"positive relationship (no specific coefficient value provided)
- Number of transit stations: 2.0%
- Pedestrian-oriented street density: 2.8% (Model 3)",statistical,plum
"0.37]
- Repeat offending hypothesis: 95% CI: [not explicitly provided]
- Crime generators and attractors hypothesis: 95% CI: [not explicitly provided]",statistical,plum
"Distance from burglar's home: OR = 0.325 and 0.326 for Non-Dis-residing burglars
- Population increase: OR = 98.6%-100.9% for Non-Dis-residing burglars",statistical,plum
"Subway stations: OR = 57.0%
- Cinemas: OR = 15.4%
- Hospitals: OR = 13.5%
- Proportion of non-locals: OR = 19.8%
- Distance: Strong positive effect",statistical,plum
prohibited the estimation of the more flexible mixed logit model due to computational constraints. The models were estimated using Stata/MP version 15.,other,lightcoral
which approximates neighborhoods and is relatively homogenous in size. This discussion addresses concerns related to scale effects and aggregation bias,other,lightcoral
"Use smaller spatial units than census block groups to better capture convergence spaces.
- Replicate findings across different types of locales (rural",other,lightcoral
"potentially introducing bias by omitting un-arrested robbers.
- Potential problem of offenses being nested within offenders not explicitly addressed.",other,lightcoral
they chose not to use these due to data limitations and the need to relax the effects of independence of irrelevant alternatives (IIA) in their model.,other,lightcoral
No sensitivity analysis performed (the study did not conduct a sensitivity analysis by comparing results across different spatial unit sizes or scales,other,lightcoral
No (the paper does not mention aggregating data from smaller administrative or statistical spatial units to create larger spatial units for analysis),methods,lightgreen
"Model: Conditional Logit Model
- Fit Statistics: Odds ratios and 95% confidence intervals
- Performance Metrics: Bootstrapping for robust estimates",statistical,plum
"the odds of it being selected decreases on average by 0.31.
- Idiosyncratic betweenness: For every 10 percent increase in ""idiosyncratic betweenness",statistical,plum
The authors chose four-digit postal code areas as their spatial unit of analysis because these areas are designed to have minimal travel restrictions,other,lightcoral
"and nesting structures of spatial units.
- Future studies could focus on the effects of different anchor points within an offender's awareness space",other,lightcoral
"Distance: Odds ratio of 0.21 (nearly 80% reduction) for an increase in log distance.
- Population size: 17% increase in odds for every additional 1",statistical,plum
"but even this was not sufficient for standard desktop computers.
- The dataset and buffer memory requirements exceeded typical desktop capabilities",other,lightcoral
"First wave data collection: October 2008 to May 2009
- Second wave data collection: November 2010 to June 2011
- Crime data collection: Up to 2012",other,lightcoral
The authors chose SA2s as their spatial unit because they are comparable to neighborhoods and have been used in other crime location choice studies,other,lightcoral
which could imply a computational constraint related to data collection and processing. No other explicit computational constraints were mentioned.,other,lightcoral
"necessitating a sampling approach to reduce the computational burden.
- Solution: A sampling procedure was used to select a subset of alternatives",other,lightcoral
which are components of the MAUP. This approach is seen as providing a more accurate measurement of the environment relevant to offenders' actions.,other,lightcoral
using census units avoids the need to estimate spillover effects and allows for the aggregation of crime generators at the same spatial resolution,other,lightcoral
"which might not be representative of rural areas or other geographical contexts.
- The choice of postal codes was influenced by data availability",other,lightcoral
The authors discuss the Modifiable Areal Unit Problem (MAUP) by acknowledging that areal unit boundaries are arbitrary and lack ecological meaning,other,lightcoral
"OR = 0.227 (adult)
- Wholesale markets: Effect present but no variation by age
- Migrants' proportion: Effect consistent with wholesale markets",statistical,plum
The authors justify their choice of using Statistical Local Areas (SLAs) as the spatial unit by referencing the discrete spatial choice framework,other,lightcoral
"leading to the use of hierarchical Bayes (HB).
- Computational limitations were addressed by using HB and managing Halton draws for convergence.",other,lightcoral
Not mentioned (the paper does not provide specific future recommendations or suggestions regarding spatial unit size or spatial unit of analysis),other,lightcoral
Estimating the conditional logit model was computationally infeasible due to the large number of decision-maker-by-alternative combinations (327,other,lightcoral
No computational constraints mentioned. The paper discusses the choice of spatial unit analysis and the challenges associated with smaller units,other,lightcoral
"Arrest data: 2012 to 2016
- POI data: 2014
- Traffic road network vector map data: 2014
- Bus stop data: 2015
- Mobile phone data: May 12-18",other,lightcoral
which may not capture local crime dynamics as effectively as smaller units. They suggest that their data could be aggregated to different scales,other,lightcoral
Not mentioned (the paper does not explicitly propose future suggestions or improvements regarding spatial unit size or spatial unit of analysis),other,lightcoral
No (the researchers did not aggregate data from smaller administrative or statistical spatial units to create larger spatial units for analysis,methods,lightgreen
"Current residential area of any family member: OR = 1.88
- Former residential area of any family member: OR = 1.37
- Specific ORs for parents",statistical,plum
postal code areas are practical for analysis due to their existing administrative boundaries and availability of demographic and economic data.,other,lightcoral
"excluding those committed outside city boundaries.
- Potential incompleteness of police data on number of offenders involved in each burglary.",other,lightcoral
Not specified (the paper provides information on the number and size of neighborhoods but does not specify the total area of the study region),quantitative,lightblue
"Pseudo-R-squared for Model 1 (residential areas only): 0.304
- Pseudo-R-squared for Model 2 (all activity nodes): 0.479
- AIC for Model 2: 1",statistical,plum
The authors justify the use of postal code areas as their spatial unit because these areas approximate the familiar environment of individuals,other,lightcoral
as dealers' decisions are influenced by very specific locations measured in meters. They suggest future research should use even smaller units,other,lightcoral
and average coefficients with standard deviations for ML. It discusses the significance and direction of effects for variables like distance,statistical,plum
using SA2s helps manage the computational burden associated with large datasets by limiting the number of alternatives to a manageable size.,other,lightcoral
The authors mention that including all possible choices outside of the study region would require more data than were available for analysis,other,lightcoral
likely related to data handling and model complexity. The decision to use LSOAs as the spatial unit of analysis is presented as a compromise,other,lightcoral
but the authors chose block groups for their study to minimize within-neighborhood heterogeneity and ensure availability of contextual data.,other,lightcoral
No sensitivity analysis performed (the paper does not explicitly conduct a sensitivity analysis using different spatial unit sizes or scales,other,lightcoral
"Distance from home to target: e = 0.61
- Presence of a major road: e = 1.77
- Presence of a military base or police station: e = 13.78",statistical,plum
even with high-performance computing. This forced them to use the less flexible but computationally less demanding conditional logit model.,other,lightcoral
suburban) were considered as alternative spatial units or scales but not used due to data limitations and the focus on census block groups.,other,lightcoral
Not mentioned (the paper does not provide specific model fit statistics or goodness-of-fit measures for the discrete spatial choice model),statistical,plum
"Consider more activity nodes and social disorganization types in future studies.
- Include additional attributes of offenders such as age",other,lightcoral
"Log-distance: .21 (reduction of nearly 80%)
- Home tract: .67 (reduction by 33%)
- Population size: 17% increase for every additional 1",statistical,plum
The authors chose four-digit postal code areas as their spatial unit because these areas are designed to have minimal travel restrictions,other,lightcoral
No MAUP discussion present (the paper implies consideration for scale effects but does not explicitly discuss MAUP or ecological fallacy),other,lightcoral
"Pseudo R-squared for main model: 0.25
- Pseudo R-squared for violence model: 0.30
- Pseudo R-squared for property offenses model: 0.25",statistical,plum
Not mentioned (the paper does not provide specific numerical coefficient values for the independent variables in the statistical models),statistical,plum
"OR ranges between 0.299 and 0.300 for Dis-residing burglars
- Population size: OR = 98.6%-100.9% increase for Non-Dis-residing burglars",statistical,plum
suggesting alignment with existing data collection practices. The involvement of ReCAP likely influenced the choice of spatial unit size,other,lightcoral
making them suitable for analyzing crime location choices and assessing spillover effects using hierarchical spatial nesting structures.,other,lightcoral
making them a suitable approximation for areas of familiarity. This choice aligns with the theoretical framework of crime pattern theory,other,lightcoral
"which may not capture all burglaries.
- Administrative boundary constraints due to reliance on data from the municipality of The Hague.",other,lightcoral
"which revealed the same pattern of results as the main analysis.
- Sensitivity tests were conducted to examine the choice of radii used",other,lightcoral
"which could influence spatial unit characteristics.
- They recommend optimizing surveillance camera placement to maximize their effects",other,lightcoral
Not mentioned (the paper does not provide specific numerical coefficient values for each independent variable in the statistical model),statistical,plum
"standard partial regression coefficient = 0.18
- Proportion of foreigners: Not significant
- Proportion of newcomers: Not significant",statistical,plum
"Proximity for adult offenders = 2.77.
- Model C: Ethnic composition for native Dutch burglars decreases likelihood by a factor of 0.92",statistical,plum
providing necessary data on street connectivity. This choice is consistent with prior research on co-offending and neighborhood context,other,lightcoral
which supports the use of neighborhoods as a relevant spatial unit for analysis. The study uses data from 89 neighborhoods in The Hague,other,lightcoral
No (the study uses data at the house level within the province of East Flanders without aggregating from smaller administrative units),methods,lightgreen
indicating high spatial accuracy. This choice is also practical as it aligns with existing administrative divisions in the Netherlands,other,lightcoral
"Small sample size (50 dealers) limited statistical inference.
- Recruitment method biased towards mobile dealers selling to strangers",other,lightcoral
Computational constraint: Estimating the multinomial logit model on the full dataset would require processing 325 million combinations,other,lightcoral
The authors chose census units as their spatial unit of analysis because they are similar in size to those used in comparable studies,other,lightcoral
"which might not cover all motivations for graffiti writers.
- Certain variables were excluded due to inter-rater reliability issues.",other,lightcoral
The authors discuss the Modifiable Areal Unit Problem (MAUP) by acknowledging the limitations of using large spatial units like wards,other,lightcoral
Not mentioned (the paper does not propose future suggestions or improvements regarding spatial unit size or spatial unit of analysis),other,lightcoral
"Bayesian Information Criterion (BIC) for model selection and comparison
- Wilcoxon signed rank test for comparing model performance",statistical,plum
The authors chose the UK Census Lower Level Super Output Area (LSOA) as their spatial unit of analysis because it provides a smaller,other,lightcoral
The authors justify the use of four-digit postal code areas as the spatial unit of analysis due to their average size and population,other,lightcoral
The authors suggest future research should explore how urban environment configurations affect collective action and social cohesion,other,lightcoral
"OR = 1.47 (Brisbane)
- Proximity effect for juveniles vs. adults: Larger for juveniles under the legal driving age than for adults",statistical,plum
"Number of residential properties: Odds ratio of 1.14 for a 10-unit increase
- Proximity: Odds ratio of 3.91 for juvenile offenders",statistical,plum
"Initial data collection for suspects: 2017
- Survey data collection: May to August 2019
- Crime data collection period: 2018-2019",other,lightcoral
"The authors chose ""Small Areas"" (SAs) as their spatial unit because they are the smallest areal unit available in Northern Ireland",other,lightcoral
"could be considered.
- Systematic observations could help determine variations in target attractiveness for specific crime types.",other,lightcoral
105 recorded3 and solved4 SAC in York committed by 687 offenders living in York between April 2008 and March 2012 were collected.,geographic,yellow
Not mentioned (the paper does not provide specific numerical coefficient values or parameter estimates for independent variables),statistical,plum
The authors chose the street segment as their spatial unit size because it aligns with contemporary theory and research questions,other,lightcoral
"which may introduce regional constraints.
- Detection bias may be present due to reliance on police data for arrested offenders.",other,lightcoral
"exceeding the capabilities of most contemporary computer workstations.
- Memory constraint: Computer memory was strictly limited",other,lightcoral
The authors used approximations based on neighbourhood centroids to calculate distances due to computational feasibility concerns,other,lightcoral
and that determining adequate resolution depends on the nature of features used. For aggregated data like demographic information,other,lightcoral
"and graffiti as signs of physical disorder.
- Narrow down the alternative set for each offender based on their daily activities.",other,lightcoral
No (the researchers used communities as the spatial unit of analysis without aggregating data from smaller administrative units),methods,lightgreen
AIC and BIC are used as model fit statistics. The smallest AIC and BIC values are observed for the integrated main effects model,statistical,plum
The authors chose 500 m grid cells as their spatial unit size because these data are available from the Japanese national census,other,lightcoral
The authors chose neighborhoods as their spatial unit size because it aligns with existing administrative divisions in The Hague,other,lightcoral
"which may limit the availability or detail of the data.
- Administrative boundary constraints: The study is confined to ZG City",other,lightcoral
necessitating the use of a bootstrapping procedure and reducing the sample size for the universal logit model from 6000 to 4000.,other,lightcoral
which mitigates spatial autocorrelation issues. Although they do not explicitly mention the Modifiable Areal Unit Problem (MAUP),other,lightcoral
Not mentioned (the paper does not provide specific model fit statistics or goodness-of-fit measures for the statistical models),statistical,plum
"business offices (no specific coefficients provided)
- Non-significant facilities: temples (no specific coefficients provided)",statistical,plum
Not mentioned (the paper does not report confidence intervals due to the small sample size and focus on descriptive statistics),statistical,plum
The large number of spatial alternatives for crime analysis makes data preparation and computation time prohibitively expensive,other,lightcoral
No (the paper does not mention aggregating data from smaller administrative units to create larger spatial units for analysis),methods,lightgreen
larger units like SAs help mitigate issues like independence of irrelevant alternatives (IIA) in conditional logit estimation.,other,lightcoral
The authors suggest considering more artificially constructed and uniform areas as an alternative to the current spatial scale,other,lightcoral
No (the paper does not mention aggregating data from smaller administrative units to create larger spatial units for analysis,methods,lightgreen
Not mentioned (the paper does not provide specific numerical coefficient values or odds ratios for the independent variables),statistical,plum
The authors chose census blocks as their spatial unit size because they are smaller than traditional units like census tracts,other,lightcoral
"limiting generalizability to other crimes or locations.
- Data restricted to residential crimes in the third quarter of 1997",other,lightcoral
The study used the 201 wards of Chennai City as spatial units due to data availability and administrative boundaries. However,other,lightcoral
No sensitivity analysis performed (the sensitivity analysis conducted was related to the weighting of items within constructs,other,lightcoral
"Match the unit of analysis to the theory being tested to avoid ecological fallacies.
- Use smaller spatial units of analysis",other,lightcoral
Not mentioned (the paper does not explicitly provide confidence intervals for the model coefficients or parameter estimates),statistical,plum
"1. Distance_to_highway
2. Family_density_per_unit_area
3. Personal_care_expenditure_per_household
4. Distance_to_hospital",statistical,plum
"Explore whether past residences remain part of an offender's daily routines.
- Include additional locations such as schools",other,lightcoral
Not mentioned (the paper does not explicitly report confidence intervals for the model coefficients or parameter estimates),statistical,plum
Not mentioned (the paper mentions the inclusion of 95% confidence intervals but does not provide specific numerical ranges),statistical,plum
"Use of smaller spatial units (LSOAs) may lead to spillover effects.
- Reliance on 2001 U.K. Census data for some variables",other,lightcoral
No computational constraints mentioned. The choice of spatial units was influenced by the complexity and scope of the study,other,lightcoral
No (the researchers used census tracts as the unit of analysis without aggregating data from smaller administrative units),methods,lightgreen
Not mentioned (the paper does not provide explicit confidence intervals for the model coefficients or parameter estimates),statistical,plum
Not mentioned (the paper does not provide specific confidence intervals for the model coefficients or parameter estimates),statistical,plum
"dealers not deterred by these factors
- Selling drugs: Dealers tend to sell in areas with high potential customer density",statistical,plum
and is methodologically justified to preserve local variations. They also note that people navigate along the road network,other,lightcoral
The authors chose the community as the spatial unit of analysis because it is relevant to urban planning and crime studies,other,lightcoral
The authors suggest that the resolution of the grid used should be fine enough to capture the variance of spatial features,other,lightcoral
"Surveillability: B = -0.735
- Ease of escape: B = 0.477
- Accessibility: B = 0.380
- Wealth: Not mentioned (no effect)",statistical,plum
and the relatively small size of census block groups in Baltimore makes them suitable for analyzing neighborhood context.,other,lightcoral
"Crime data: 2017-2018
- Mobility flow data: October 2019
- Point of interest data: 2016
- Socio-demographic data: 2010",other,lightcoral
indicating an awareness of aggregation bias. They also highlight the variation in surface size within and between suburbs,other,lightcoral
Not mentioned (the paper does not provide a specific number of spatial units included in the final statistical analysis),quantitative,lightblue
No (the paper does not mention aggregating data from smaller administrative or statistical spatial units to larger units,methods,lightgreen
"which might affect the analysis in urban versus rural areas.
- The study area was limited to three urban municipalities",other,lightcoral
improving data collection and analysis methods to address the low detection rate could enhance the validity of findings.,other,lightcoral
Not mentioned (the paper does not provide the exact number of spatial units included in the final statistical analysis),quantitative,lightblue
Not mentioned (the paper does not explicitly report confidence intervals for model coefficients or parameter estimates),statistical,plum
The authors chose their specific spatial unit size or type based on equivalence in size of the known burglar population,other,lightcoral
"Root likelihood statistic for conditional logit model: 0.028
- Root likelihood statistic for mixed logit model: 0.151",statistical,plum
"no specific odds ratio provided
- Contagion: Odds ratio = 1.14 for every additional incident in the previous 24 hours",statistical,plum
Not mentioned (the paper does not provide explicit confidence intervals for model coefficients or parameter estimates),statistical,plum
Not mentioned (the paper does not provide specific confidence intervals for model coefficients or parameter estimates),statistical,plum
The authors mentioned that they used the Poisson model implementation because it is computationally easier to estimate,other,lightcoral
"The authors mention that using smaller spatial units of analysis would yield ""computational and theoretical challenges",other,lightcoral
they discuss how larger units affect the independence of irrelevant alternatives (IIA) in conditional logit estimation,other,lightcoral
"which relates to spatial autocorrelation issues. Although they do not explicitly mention ""MAUP"" or ""ecological fallacy",other,lightcoral
Not mentioned (the paper does not discuss future suggestions related to spatial unit size or spatial unit of analysis),other,lightcoral
"Netherlands: Neighborhoods
- United Kingdom: Super Output Areas (medium layer)
- Australia: Statistical Local Areas",geographic,yellow
"affecting spatial analysis precision.
- Aggregation requirements due to demographic data at census block group level",other,lightcoral
"and socioeconomic status.
- Explore reasons for differences in odds ratios between epidemiology and crime geography.",other,lightcoral
"Future research should consider dynamic changes in on-street population.
- Include small objects like broken windows",other,lightcoral
we utilize the discrete choice framework to assess which criteria motivate the location decisions of street robbers.,geographic,yellow
No (the data was analyzed directly at the neighbourhood level without aggregation from smaller administrative units),methods,lightgreen
The authors chose the census tract as their spatial unit of analysis because it was consistent with previous studies,other,lightcoral
The authors mentioned that the nested logit model was computationally prohibitive due to the large dataset size (138,other,lightcoral
Not mentioned (the paper does not provide a specific total number of individual crime incidents or events analyzed),quantitative,lightblue
"OR = 0.377 (native)
- Distance of journey to crime: Significant negative influence (no specific OR value provided)",statistical,plum
Not mentioned (the paper does not provide specific confidence interval values or ranges for the model coefficients),statistical,plum
allowing for unbiased comparison due to equal size. This choice is also theoretically justified by Ratcliffe (2003),other,lightcoral
with a standard deviation of 2.85 km^2. The choice aligns with common practices in criminology and spatial analysis,other,lightcoral
which limited their ability to use smaller spatial units without drastically reducing the sample size. Additionally,other,lightcoral
"in addition to the house level.
- Apply nested logit models to account for multiple levels of spatial aggregation.",other,lightcoral
Odds ratios (ORs) for activity nodes with high reliability and high relevance: Not explicitly provided in the text,statistical,plum
which can lead to aggregation bias. They also mention that smaller units are more appropriate for certain analyses,other,lightcoral
A sensitivity analysis was conducted to test the impact of different random selections of offenders on the results,other,lightcoral
Not mentioned (the paper does not provide confidence intervals for the model coefficients or parameter estimates),statistical,plum
"Adults (OR = 1.008)
- Group offenders vs. solo offenders: Various odds ratios provided for different comparisons",statistical,plum
which may not accurately reflect local crime patterns. The data on population is only available at the ward level,other,lightcoral
limiting finer-scale analysis. A multiple-scale analysis was not feasible due to the study's design and strategy.,other,lightcoral
Computational constraints: The models require estimation across three dimensions (crimes × locations × variables),other,lightcoral
Blocks were mentioned as an alternative unit used in other research for assessing criminogenic nodes or hot spots,other,lightcoral
which could involve exploring different scales of analysis or optimal unit sizes that reflect social homogeneity.,other,lightcoral
Systematic Social Observation (SSO) conducted by a team of 212 observers in Ghent's city center in November 2017,crime_related,orange
"1. Distance_to_home_base
2. Presence_of_major_road
3. Presence_of_military_base
4. Presence_of_police_station",statistical,plum
The authors briefly discuss the Modifiable Areal Unit Problem (MAUP) in relation to their spatial unit selection,other,lightcoral
"positive relationship (no specific coefficient value provided)
- Rate of solo crime: Statistically significant",statistical,plum
The authors chose Statistical Area 2 (SA2) as their spatial unit because it is consistent with previous studies,other,lightcoral
"which limits the spatial unit selection.
- Offence type grouping: Different offence types are grouped together",other,lightcoral
the choice of street segments as the spatial unit of analysis was influenced by human observational limitations,other,lightcoral
they address spatial autocorrelation by discussing spatial spillover effects and spatial agglomeration effects.,other,lightcoral
to yield improved insights because more within-tract heterogeneity and within-tract distances are incorporated.,other,lightcoral
"u 30: Negative coefficient (exact value not provided)
- u 66: Positive coefficient (exact value not provided)",statistical,plum
Not mentioned (the paper does not provide specific numerical coefficient values for each independent variable),statistical,plum
"OR = 1.022 for native robbers (p > 0.05)
- Proportion of migrants: OR = 1.043 for migrant robbers (p < 0.001)",statistical,plum
"assuming demographic stability over a decade.
- Lack of data on police activity and arrests during the riots.",other,lightcoral
Not mentioned (the exact number of SA2s included in the final analysis is not explicitly stated in the paper),quantitative,lightblue
No (the researchers used data at the block group level without aggregating it to larger administrative units),methods,lightgreen
Not mentioned (the paper does not provide confidence intervals for model coefficients or parameter estimates),statistical,plum
they are comparable to or larger than those used in previous studies without yielding contradictory findings.,other,lightcoral
The authors faced computational constraints due to the resource-intensive nature of the discrete choice model,other,lightcoral
The study conducted sensitivity analysis by testing spatial spillover effects across different spatial scales,other,lightcoral
No (the paper does not explicitly mention aggregating data from smaller administrative units to larger ones),methods,lightgreen
Not mentioned (the paper does not explicitly report any specific model fit statistics such as log-likelihood,statistical,plum
"Proximity (negative log distance) has a positive effect.
- Model B: Proximity for juvenile offenders = 3.91",statistical,plum
The authors justify the use of postal code areas as the spatial unit by noting their average population size,other,lightcoral
but they do not provide detailed descriptions of specific computational limitations or software constraints.,other,lightcoral
indicating these were alternative units considered in the broader context of crime location choice research.,other,lightcoral
indicating that smaller units were considered but not selected due to practical and theoretical limitations.,other,lightcoral
Not mentioned (the paper does not explicitly report traditional model fit statistics such as log-likelihood,statistical,plum
"positive association (no specific value provided)
- Socioeconomic heterogeneity: Statistically significant",statistical,plum
"and matching the unit of analysis to the theory.
- Practical considerations: heterogeneity of larger units",other,lightcoral
No computational constraints mentioned. The paper does not explicitly mention any computational limitations,other,lightcoral
but does not explicitly mention computational limitations like memory constraints or processing challenges.,other,lightcoral
Activities and Neighborhoods (SPAN) - self-report questionnaires and personal space-time budget interviews,crime_related,orange
"465
- Pseudo-R-squared for high accuracy subset: 0.512
- Pseudo-R-squared for low accuracy subset: 0.442",statistical,plum
"OR > 80% increase for Dis-residing burglars
- Bus stops: OR = 1.2% increase for Non-Dis-residing burglars",statistical,plum
"OR = 1.016 for native robbers (p > 0.05)
- Transportation hubs: OR = 1.052 for migrant robbers (p < 0.01)",statistical,plum
The authors chose the Statistical Area 2 (SA2) as their spatial unit because it approximates neighborhoods,other,lightcoral
but they note that a multiple-scale analysis would require additional research questions and a new design.,other,lightcoral
"with only up to five prior addresses obtainable.
- Bias due to missing information on past home addresses",other,lightcoral
Not mentioned (the paper does not provide a comprehensive list of independent variables in the main text),quantitative,lightblue
indicating increased likelihood of location choice for crime. Specific numerical values are not provided.,statistical,plum
"which may not perfectly capture neighborhood dynamics.
- Excludes block groups with missing Census data.",other,lightcoral
"which may not be representative of all offenders.
- Variation within offense types could affect results.",other,lightcoral
parcels. Reason for rejection: The study's scope and design did not accommodate a multiple-scale analysis,other,lightcoral
Not specified (the paper provides average area per community but not the total area of the study region),quantitative,lightblue
No (the study uses data at the neighborhood level without aggregating from smaller administrative units),methods,lightgreen
Police data from the Metropolitan Police Service for riot-related incidents in London during August 2011,crime_related,orange
- Index of Multiple Deprivation (IMD) 2010 from the U.K. Department for Communities and Local Government,crime_related,orange
Not mentioned (the paper does not explicitly report specific model fit statistics such as log-likelihood,statistical,plum
"positive relationship (no specific coefficient value provided)
- Spatial lag: Statistically significant",statistical,plum
they acknowledge that smaller units could be used but would introduce issues of spatial interdependence.,other,lightcoral
"adding to the computational burden.
- A sampling strategy was used to reduce the number of alternatives",other,lightcoral
The authors discuss the Modifiable Areal Unit Problem (MAUP) in relation to their spatial unit selection,other,lightcoral
but it does consider spatial scales through the use of radius of gyration and spatial contiguity bands).,other,lightcoral
No (the data was analyzed at the community level without aggregation from smaller administrative units),methods,lightgreen
"OR = 1.018 for native robbers (p > 0.05)
- Subway stations: OR = 1.038 for migrant robbers (p < 0.000)",statistical,plum
which suggests that smaller units can better capture the effects of heterogeneity on offender behavior.,other,lightcoral
ensuring data availability and consistency. These communities have relatively high resident homogeneity,other,lightcoral
"which may not capture differences in behavior.
- Crime reporting bias: The data is limited to reported",other,lightcoral
The authors suggest that smaller spatial units of analysis might be more appropriate for future studies,other,lightcoral
a selection of 150 dwellings that were burglarised during daylight hours in 2009 is made from geocoded,geographic,yellow
Not specified (the paper provides a range of population sizes per SA2 but does not specify an average),quantitative,lightblue
